,director,nm_film_directed
241,Lukas Moodysson,14
242,Luke Fowler,13
243,Lynne Ramsay,13
244,László Nemes,7
245,Mahamat-Saleh Haroun,24
246,Mani Haghighi,10
247,Manoel de Oliveira,66
248,Marcelo Gomes,14
249,Marco Bellocchio,55
250,Marco De Angelis,Not Available
251,Maren Ade,5
252,Mariano Llinás,12
253,Marjane Satrapi,6
254,Mark Neveldine,7
255,Martin Campbell,38
256,Martin Scorsese,77
257,Mary Harron,28
258,Mel Gibson,12
259,Mia Hansen-Løve,10
260,Michael Bay,64
261,Michael Haneke,22
262,Michael Mann,26
263,Michael Moore,23
264,Michael Winterbottom,52
265,Michel Gondry,137
266,Michel Hazanavicius,17
267,Michelangelo Antonioni,36
268,Michelangelo Frammartino,8
269,Miguel Arteta,43
270,Miguel Gomes,17
271,Mike Judge,18
272,Mike Leigh,25
273,Mike Mills,22
274,Mira Nair,27
275,Miranda July,11
276,Mohamed Diab,6
277,Mohamed Soueid,Not Available
278,Mohammad Rasoulof,10
279,Mojtaba Mirtahmasb,7
280,Nadine Labaki,13
281,Naji Abou Nowar,2
282,Nanfu Wang,8
283,Nanni Moretti,30
284,Naomi Kawase,49
285,Neill Blomkamp,37
286,Newton I. Aduaka,9
287,Ngozi Onwurah,22
288,Nick Cassavetes,13
289,Nicolas Winding Refn,23
290,Nikolaus Geyrhalter,19
291,Nina Paley,10
292,Noah Baumbach,17
293,Norbert Pfaffenbichler,13
294,Nouri Bouzid,11
295,Nuri Bilge Ceylan,12
296,Oliver Schmitz,43
297,Olivier Assayas,37
298,Ossama Mohammed,5
299,Ousmane Sembène,13
300,Pablo Berger,7
301,Pablo Larraín,28
302,Pacho Velez,13
303,Paolo Benvenuti,Not Available
304,Paolo Sorrentino,37
305,Park Chan-wook,23
306,Patricio Guzmán,31
307,Patrick Wang,5
308,Patty Jenkins,15
309,Paul Feig,32
310,Paul Greengrass,23
311,Paul Thomas Anderson,48
312,Paweł Pawlikowski,14
313,Pedro Almodóvar,43
314,Pedro Costa,19
315,Pete Docter,12
316,Peter Jackson,30
317,Peter Mullan,7
318,Peter Tscherkassky,25
319,Peter Watkins,18
320,Peter Weir,31
321,Phil Solomon,1
322,Philip Gröning,10
323,Philip Kaufman,14
324,Philippe Garrel,38
325,Philippe Grandrieux,18
326,Pietro Marcello,16
327,Pippo Delbono,11
328,Pirjo Honkasalo,22
329,Quentin Tarantino,22
330,Raam Reddy,5
331,Rachid Bouchareb,21
332,Rajat Kapoor,14
333,Ramin Bahrani,22
334,Raoul Peck,26
335,Raúl Ruiz,118
336,Rehad Desai,8
337,Rian Johnson,20
338,Richard Curtis,6
339,Richard Kelly,5
340,Richard Linklater,36
341,Rick Alverson,15
342,Ridley Scott,59
343,Rita Azevedo Gomes,12
344,Rob Marshall,12
345,Robert Altman,91
346,Robert Greene,14
347,Robert Pulcini,21
348,Robert Zemeckis,35
349,Roberto Benigni,9
350,Roman Polanski,42
351,Ronit Elkabetz,3
352,Roy Andersson,23
353,Royston Tan,22
354,Ryan Coogler,12
355,S. Craig Zahler,4
356,Sam Mendes,22
357,Sam Raimi,40
358,Samba Gadjigo,2
359,Sara Fattahi,2
360,Sarah Polley,10
361,Satoshi Kon,10
362,Scandar Copti,10
363,Sean Baker,15
364,Seth Rogen,12
365,Shane Black,7
366,Shane Carruth,3
367,Shane Meadows,20
368,Shari Springer Berman,21
369,Shimit Amin,13
370,Shlomi Elkabetz,8
371,Sidney Lumet,74
372,Sion Sono,65
373,Sofia Coppola,27
374,Spike Jonze,108
375,Spike Lee,134
376,Stephanie Spray,1
377,Stephen Chow,11
378,Stephen Daldry,12
379,Stephen Frears,72
380,Stevan Riley,6
381,Steve McQueen,37
382,Steven Knight,4
383,Steven Soderbergh,53
384,Steven Spielberg,60
385,Sudhir Mishra,24
386,Susanne Bier,23
387,Takahisa Zeze,63
388,Takeshi Kitano,22
389,Tan Pin Pin,Not Available
390,Terence Davies,15
391,Terrence Malick,18
392,Terry George,13
393,Terry Zwigoff,7
394,Thom Andersen,10
395,Thomas Vinterberg,24
396,Tigmanshu Dhulia,27
397,Todd Haynes,21
398,Tom Ford,2
399,Tom Hooper,25
400,Tom McCarthy,10
401,Tom McGrath,11
402,Tomas Alfredson,35
403,Tomm Moore,5
404,Tommy Lee Jones,4
405,Tony Gilroy,3
406,Tony Scott,32
407,Travis Wilkerson,11
408,Trey Parker,26
409,Tsai Ming-liang,47
410,Uli Edel,37
411,Ulrich Seidl,28
412,Valeska Grisebach,4
413,Vicky Jenson,10
414,Vikramaditya Motwane,19
415,Vincent Paronnaud,12
416,Vishal Bhardwaj,19
417,Víctor Erice,19
418,Víctor Gaviria,13
419,Wai Keung Lau,51
420,Wang Bing,26
421,Warwick Thornton,21
422,Wayne Blair,26
423,Werner Herzog,78
424,Wes Anderson,30
425,Whit Stillman,8
426,Wolfgang Becker,11
427,Wong Kar-wai,36
428,Woody Allen,57
429,Xavier Beauvois,12
430,Xavier Dolan,13
431,Yann Arthus-Bertrand,16
432,Yaron Shani,7
433,Yervant Gianikian,53
434,Yorgos Lanthimos,27
435,Zhang Yimou,37
436,Ágnes Hranitzky,4
437,Éric Rohmer,54
